Subject,Condition,Age,Gender,Race,MFQ_Self_1,MFQ_Self_2,MFQ_Self_3,MFQ_Self_4,MFQ_Self_5,MFQ_Self_Check1,MFQ_Self_7,MFQ_Self_8,MFQ_Self_9,MFQ_Self_10,MFQ_Self_11,MFQ_Self_12,MFQ_Self_13,MFQ_Self_15,MFQ_Self_16,MFQ_Self_17,MFQ_Self_Check2,MFQ_Self_19,MFQ_Self_20,MFQ_Self_21,MFQ_Self_22,MFQ_Self_23,Issue_agreement,Issue_Cand,Issue_Discrim,Issue_Weed,Issue_PB,Identification,Ident_Cand,Ident_Discrim,Ident_Weed,Ident_PB,ManCheck,Check_Cand,Check_Discrim,Check_Weed,Check_PB,MFQ_Targ_1,MFQ_Targ_2,MFQ_Targ_3,MFQ_Targ_4,MFQ_Targ_5,MFQ_Targ_Check1,MFQ_Targ_7,MFQ_Targ_8,MFQ_Targ_9,MFQ_Targ_10,MFQ_Targ_11,MFQ_Targ_12,MFQ_Targ_13,MFQ_Targ_15,MFQ_Targ_16,MFQ_Targ_17,MFQ_Targ_Check2,MFQ_Targ_19,MFQ_Targ_20,MFQ_Targ_21,MFQ_Targ_22,MFQ_Targ_23
121,2,18,1,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,1,2,1,3,3,4,,4,,,3,,3,,,5,,5,,,5,5,5,5,5,1,5,5,5,5,5,6,6,1,2,6,6,5,5,5,1,6
122,2,19,2,5,3,5,1,2,4,1,4,5,3,2,5,4,2,4,5,3,6,5,4,4,3,4,1,,1,,,4,,4,,,5,,5,,,5,2,5,5,5,1,2,3,3,5,5,4,6,6,6,6,6,6,6,6,6,6
123,4,22,2,2,6,5,1,5,5,2,5,6,6,3,6,6,6,4,4,3,6,5,6,4,2,2,4,,,,4,2,,,,2,5,,,,5,6,5,3,6,6,1,6,5,5,6,6,6,6,6,5,6,6,6,6,6,4,6
125,2,20,1,5,5,4,1,3,5,1,4,5,3,2,4,4,6,3,4,4,5,5,5,4,1,2,1,,1,,,3,,3,,,5,,5,,,3,5,1,4,4,1,4,5,4,5,4,5,5,3,4,5,6,5,5,4,1,2
126,4,18,2,5,2,5,4,1,5,3,3,2,3,3,3,1,3,3,2,3,4,3,3,2,4,4,4,,,,4,2,,,,2,5,,,,5,2,2,4,5,4,2,2,3,4,3,4,3,1,3,4,4,2,4,4,3,4,4
127,1,20,1,2,1,2,2,2,1,2,1,2,2,1,2,3,2,2,3,3,2,3,3,2,3,4,1,1,,,,2,2,,,,5,5,,,,3,2,3,4,3,3,3,4,4,3,4,2,3,4,4,4,3,3,4,4,3,4
128,4,18,1,5,4,3,2,3,4,1,4,5,5,1,2,4,4,5,4,1,6,3,1,3,2,1,4,,,,4,1,,,,1,5,,,,5,4,4,2,3,3,1,4,5,4,1,1,5,4,4,5,3,6,5,5,4,1,3
129,4,18,2,5,5,3,1,1,5,1,5,5,5,3,4,5,3,2,4,2,6,3,6,6,4,3,1,,,,1,1,,,,1,5,,,,5,6,6,3,6,6,5,6,6,3,5,2,6,6,4,2,5,6,6,5,6,5,6
130,4,18,1,5,1,1,1,1,1,1,1,6,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,,,,1,1,,,,1,5,,,,5,1,1,1,1,1,1,1,6,1,1,1,1,1,4,1,1,1,1,1,1,1,1
132,3,20,2,5,5,5,5,5,5,2,5,5,5,4,4,5,4,4,5,3,5,4,5,4,4,5,1,,,1,,3,,,3,,5,,,5,,5,5,4,5,5,2,5,5,5,5,4,4,4,4,5,4,5,4,5,4,4,5
134,2,20,2,5,6,6,5,4,3,1,3,4,4,2,4,5,6,4,4,5,5,6,5,2,1,4,1,,1,,,3,,3,,,5,,5,,,6,6,5,5,5,1,4,4,4,4,5,6,6,5,6,6,6,6,6,4,3,5
135,3,22,2,5,6,6,2,3,6,1,6,6,6,2,4,6,6,1,5,3,6,4,6,3,3,4,1,,,1,,2,,,2,,5,,,5,,6,6,3,3,6,1,6,6,6,4,5,6,6,3,5,6,6,5,6,5,5,5
136,2,19,2,2,6,6,2,2,2,1,6,6,3,1,2,5,1,2,2,2,6,6,5,4,1,1,1,,1,,,4,,4,,,5,,5,,,4,4,6,6,6,2,5,5,6,6,6,5,6,6,6,6,6,6,6,6,5,5
137,3,19,1,5,5,5,4,3,1,5,4,4,3,2,4,6,4,2,3,1,6,6,2,2,1,1,1,,,1,,3,,,3,,5,,,5,,5,2,5,5,6,2,6,6,5,5,5,4,5,5,5,6,6,6,6,6,4,6
138,1,19,1,5,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,3,3,,,,5,5,,,,5,5,5,5,5,1,5,5,5,5,5,4,4,4,4,4,4,6,6,6,6,6
139,2,19,1,5,1,1,3,2,2,4,4,1,1,3,1,3,3,1,3,2,1,3,2,2,1,2,1,,1,,,3,,3,,,5,,5,,,5,5,4,6,6,5,4,1,3,3,2,4,4,3,5,6,6,6,4,5,4,6
141,3,19,2,5,5,5,1,4,5,1,5,5,4,3,4,5,5,3,5,4,5,6,5,5,4,4,1,,,1,,3,,,3,,5,,,5,,6,6,3,6,6,2,6,6,6,6,6,5,4,3,6,6,6,4,4,6,2,6
142,3,19,2,5,5,5,1,2,2,1,4,4,2,1,3,4,6,1,4,6,4,6,4,1,1,3,4,,,4,,3,,,3,,5,,,5,,5,4,1,3,3,1,6,3,3,2,2,5,5,1,2,5,4,6,4,1,1,2
143,4,19,2,5,6,6,1,3,2,1,3,5,3,1,3,6,6,1,5,4,6,6,6,5,1,2,4,,,,4,1,,,,1,5,,,,5,6,6,2,2,6,1,6,6,1,1,1,6,6,2,2,3,6,6,5,5,1,2
144,3,18,2,5,6,5,2,4,3,2,6,5,6,3,5,6,6,4,6,6,6,6,6,3,4,6,1,,,1,,4,,,4,,5,,,5,,6,6,3,5,3,2,6,6,6,3,6,6,6,4,6,6,,6,6,4,4,6
145,2,19,2,5,6,6,1,1,1,1,6,6,2,4,6,4,4,1,1,2,6,3,4,2,2,3,1,,1,,,4,,4,,,5,,5,,,6,2,5,5,5,1,6,4,5,4,6,5,3,5,5,5,5,5,4,4,6,6
146,1,18,2,6,6,6,1,3,5,1,5,5,3,2,6,5,5,1,2,3,5,6,5,2,1,3,1,1,,,,3,3,,,,5,5,,,,1,1,5,5,5,3,3,2,5,5,4,2,2,4,4,4,4,6,5,4,4,4
147,2,22,2,6,3,6,2,2,5,1,3,3,5,2,5,5,6,1,4,4,6,4,3,5,3,3,1,,1,,,4,,4,,,5,,5,,,2,2,5,5,5,3,2,3,5,6,5,2,2,5,5,4,5,6,6,3,2,3
151,3,31,1,5,4,5,1,2,1,3,5,5,1,1,4,5,5,1,1,2,4,5,4,2,2,2,1,,,1,,3,,,3,,5,,,5,,5,5,5,5,4,1,6,4,4,4,4,5,4,5,5,4,4,5,4,5,4,5
152,1,19,2,2,4,4,3,4,4,3,4,3,3,4,4,4,4,5,4,4,4,5,4,4,5,3,4,4,,,,3,3,,,,5,5,,,,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5
154,3,19,1,5,5,4,3,4,3,2,3,4,5,3,2,6,3,3,4,3,4,5,4,4,3,4,4,,,4,,2,,,2,,5,,,5,,5,4,2,2,2,1,3,4,5,2,2,6,4,2,2,2,4,6,1,6,1,3
156,1,20,1,2,5,4,4,6,4,5,5,5,4,6,6,5,3,5,3,5,3,5,6,4,5,5,1,1,,,,4,4,,,,5,5,,,,5,4,6,4,6,6,6,6,4,3,6,5,3,4,5,2,5,5,4,5,5,6
157,3,18,2,2,5,2,3,3,2,3,3,1,3,3,3,4,3,3,4,3,4,3,4,3,4,3,4,,,4,,1,,,1,,5,,,5,,4,3,3,4,4,3,4,3,3,4,3,3,3,4,5,4,3,4,4,4,3,3
160,4,19,2,5,5,5,4,4,4,1,5,5,4,3,4,5,5,1,3,5,6,3,3,3,3,3,4,,,,4,2,,,,2,5,,,,5,5,5,4,3,3,1,5,5,4,3,4,5,5,2,3,5,6,4,3,3,3,3
161,2,21,1,5,4,4,6,6,6,1,6,5,6,6,4,5,6,6,6,5,5,4,6,4,6,6,4,,4,,,4,,4,,,5,,5,,,6,6,3,3,6,6,6,6,6,1,1,6,6,1,3,1,6,6,3,6,1,6
162,1,18,2,5,5,4,2,3,2,1,5,5,4,2,2,5,4,1,2,2,5,5,3,2,2,2,1,1,,,,4,4,,,,5,5,,,,4,2,5,4,4,1,2,2,4,5,2,4,3,5,5,4,6,5,5,4,4,5
163,3,19,1,5,5,3,1,3,3,1,2,4,3,2,1,5,5,2,4,2,6,2,3,2,1,3,1,,,1,,4,,,4,,5,,,5,,6,5,2,5,5,1,4,4,1,3,3,6,6,2,5,4,6,4,4,4,1,5
164,1,19,1,5,4,6,2,5,2,1,1,5,5,5,1,4,5,1,3,1,6,6,5,2,2,4,1,1,,,,3,3,,,,5,5,,,,4,2,6,6,4,1,3,5,5,6,6,3,3,6,6,6,6,4,3,6,6,6
165,2,,1,2,6,4,6,4,4,1,6,6,5,5,6,2,6,4,6,3,6,6,6,2,6,6,1,,1,,,5,,5,,,5,,5,,,3,3,5,6,2,1,2,2,1,5,5,2,2,6,6,2,2,1,2,6,3,1
166,2,21,1,5,1,1,1,2,1,1,1,3,3,1,4,6,5,5,3,4,6,5,6,5,1,2,1,,1,,,5,,5,,,5,,5,,,5,5,5,5,5,1,5,4,3,1,2,5,5,6,6,6,6,4,6,5,6,5
167,1,19,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,,,,3,3,,,,5,5,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
169,3,19,1,2,3,1,1,1,1,1,1,1,1,1,1,3,1,1,,1,1,,,1,1,1,4,,,4,,3,,,3,,5,,,5,,3,3,1,5,4,1,2,1,3,5,6,2,4,4,4,4,3,4,4,3,4,3
170,3,19,2,2,5,6,2,3,5,1,5,6,4,3,4,5,6,4,4,3,6,6,6,5,4,5,1,,,1,,2,,,2,,5,,,5,,6,5,4,5,5,1,5,4,2,4,5,4,5,4,6,6,6,5,5,5,4,4
171,2,19,1,5,5,3,2,3,2,2,5,4,4,3,5,4,4,5,5,5,6,4,3,2,2,2,1,,1,,,3,,3,,,5,,5,,,3,4,2,1,1,2,5,5,5,1,2,5,5,1,1,2,5,4,5,2,1,1
172,3,19,1,5,4,5,4,3,4,4,5,3,3,4,6,6,6,4,6,6,6,6,6,6,2,6,1,,,1,,4,,,4,,5,,,5,,5,5,4,5,4,5,3,3,4,2,4,5,4,4,6,6,6,5,6,5,2,5
173,1,19,2,2,5,6,3,3,4,2,3,5,5,3,4,6,6,2,4,5,6,6,5,2,3,3,1,1,,,,4,4,,,,5,5,,,,5,5,4,4,3,3,2,3,2,4,3,4,4,5,3,3,5,4,4,3,4,3
174,1,18,2,6,6,6,3,2,4,1,5,5,6,5,3,6,6,5,4,4,6,6,6,4,4,1,1,1,,,,3,3,,,,5,5,,,,6,5,6,6,5,1,4,4,5,2,3,5,5,6,6,4,5,6,6,6,6,4
175,4,19,1,3,5,5,3,3,5,2,4,4,5,3,4,4,5,2,3,4,5,4,4,4,4,4,4,,,,4,3,,,,3,5,,,,5,6,6,4,4,5,1,6,5,4,4,5,6,5,5,5,5,6,6,5,4,3,5
176,2,20,1,5,2,4,3,2,4,1,5,5,5,1,2,4,4,3,2,3,5,3,5,2,4,3,4,,4,,,3,,3,,,5,,5,,,6,6,4,3,5,1,5,5,5,5,4,6,6,3,4,3,6,5,6,2,2,4
178,2,20,2,2,6,6,2,2,4,1,4,5,1,2,5,1,5,4,4,4,5,5,5,1,2,2,4,,4,,,3,,3,,,5,,5,,,3,4,5,3,3,4,3,5,3,4,5,4,4,5,4,4,2,2,2,5,5,5
180,4,23,1,5,6,6,1,6,6,1,6,6,6,1,6,6,6,2,4,1,6,6,5,3,1,1,1,,,,1,5,,,,5,5,,,,5,6,6,1,4,6,1,6,6,6,1,6,5,6,1,2,1,6,6,6,3,1,1
181,3,19,2,5,5,5,4,4,5,2,4,5,4,4,5,5,5,2,4,6,6,6,4,5,2,3,1,,,1,,4,,,4,,5,,,5,,2,4,4,6,6,4,4,5,4,5,5,3,4,5,6,6,4,5,4,4,3,4
182,2,18,2,5,6,6,4,4,5,1,5,5,5,4,4,5,6,2,5,5,6,6,5,5,1,4,1,,1,,,4,,4,,,5,,5,,,5,2,6,6,4,1,3,4,5,6,4,2,4,6,6,4,4,6,6,6,6,5
183,3,18,2,5,5,5,3,3,4,1,4,4,4,3,4,6,6,4,5,5,5,5,4,5,3,3,1,,,1,,4,,,4,,5,,,5,,6,6,5,6,6,1,5,6,4,4,4,6,5,4,6,5,6,5,6,6,4,4
184,4,18,1,5,4,4,4,4,4,4,4,3,3,3,3,3,4,6,2,5,2,4,3,1,6,2,4,,,,4,1,,,,1,5,,,,5,2,6,3,5,1,5,3,2,5,4,1,6,3,2,4,2,5,3,4,1,5,2
185,2,21,2,2,5,5,1,1,1,1,4,6,3,1,4,5,6,3,2,4,5,5,5,4,3,5,1,,1,,,4,,4,,,5,,5,,,2,2,5,5,5,1,1,1,5,5,6,2,2,6,5,5,6,4,3,6,6,6
186,3,19,1,5,4,4,5,4,3,4,5,6,4,3,6,2,3,5,4,4,3,4,5,4,4,5,1,,,1,,3,,,3,,5,,,5,,4,4,3,4,4,4,4,4,4,4,3,3,4,4,5,4,4,4,3,4,4,4
187,4,21,2,2,2,4,5,5,6,2,5,6,6,4,5,4,6,6,6,6,6,6,6,6,6,3,1,,,,1,3,,,,3,5,,,,5,2,3,4,4,4,1,1,1,1,2,1,4,2,3,2,2,2,2,1,2,2,3
188,2,18,2,5,5,4,2,5,2,1,4,5,2,5,4,5,5,3,6,4,6,2,4,4,2,2,1,,1,,,3,,3,,,5,,5,,,2,2,6,6,6,5,2,3,2,5,5,2,2,6,6,2,5,2,6,2,6,6
189,1,18,2,4,5,4,2,4,3,1,4,4,4,2,2,4,5,2,5,3,6,6,4,5,4,2,1,1,,,,3,3,,,,5,5,,,,4,3,4,4,3,1,4,4,3,5,2,5,4,2,5,2,5,5,6,4,6,5
192,4,21,2,5,4,4,3,4,3,4,5,3,3,5,5,5,4,5,3,4,6,6,5,3,3,4,4,,,,4,3,,,,3,5,,,,5,5,5,4,5,5,5,5,5,5,5,5,6,6,5,6,6,5,6,5,6,6,5
193,1,18,2,5,6,5,3,3,5,2,4,6,4,2,6,6,5,2,4,5,6,6,4,3,1,3,1,1,,,,4,4,,,,5,5,,,,5,1,4,3,5,1,2,2,5,5,3,4,2,5,4,3,6,2,5,5,4,4
194,3,19,2,2,5,6,2,2,3,1,4,4,3,4,4,6,6,1,5,5,6,4,5,5,3,3,1,,,1,,3,,,3,,5,,,5,,2,3,5,6,6,2,2,5,6,3,6,2,3,6,6,1,6,1,6,6,6,6
195,3,19,2,5,4,4,2,5,5,1,5,6,4,3,5,5,5,4,5,5,6,6,5,5,4,4,1,,,1,,4,,,4,,5,,,5,,6,6,5,6,5,2,3,4,5,5,5,5,6,6,6,4,6,5,5,3,5,6
197,1,18,1,3,6,6,1,4,1,1,4,6,3,3,4,6,6,1,4,5,6,6,5,3,1,4,1,1,,,,3,3,,,,5,5,,,,4,2,5,5,5,1,3,2,3,5,2,3,3,4,4,4,3,3,3,4,5,5
198,1,20,2,5,5,5,5,5,5,2,5,5,5,5,5,4,4,4,4,4,4,4,4,4,6,4,4,4,,,,5,5,,,,5,5,,,,2,2,1,1,1,4,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2
199,3,19,1,5,3,4,3,6,6,1,6,4,5,3,5,4,3,2,6,3,6,6,6,6,3,2,1,,,1,,2,,,2,,5,,,5,,6,6,3,6,6,4,6,6,6,6,6,6,6,5,6,5,6,6,6,6,1,5
200,1,18,2,2,4,5,1,6,6,1,3,4,4,1,1,4,5,2,3,3,6,6,5,4,1,1,1,1,,,,5,5,,,,5,5,,,,4,2,6,4,2,1,3,2,6,6,6,2,2,6,6,2,4,5,6,4,6,4
201,3,18,2,5,5,5,2,3,1,1,5,5,2,2,3,4,5,1,3,4,6,4,4,4,1,1,1,,,1,,3,,,3,,5,,,5,,4,3,4,5,4,1,5,4,3,4,4,4,4,3,3,4,6,5,4,5,4,4
202,3,18,1,6,3,5,3,4,4,4,3,4,3,4,2,3,2,,3,4,3,5,5,4,2,3,1,,,1,,1,,,1,,5,,,5,,3,3,2,3,4,3,3,3,3,4,2,3,2,4,3,3,2,4,3,2,3,4
203,1,20,1,5,6,6,4,4,4,1,5,3,3,1,1,6,6,2,6,5,6,6,4,6,3,3,1,1,,,,1,1,,,,5,5,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
204,1,18,2,2,5,4,4,4,5,5,5,4,5,4,5,5,5,4,4,4,5,4,4,4,4,5,1,1,,,,1,1,,,,5,5,,,,5,6,5,5,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,3
205,4,19,2,5,5,6,2,4,2,1,4,6,5,5,2,5,5,2,3,4,6,5,4,4,2,3,1,,,,1,3,,,,3,5,,,,5,6,6,3,3,2,1,6,6,6,4,5,6,5,2,4,3,5,5,6,6,1,4
206,1,21,1,5,2,3,3,4,3,1,3,4,4,2,2,5,5,5,5,3,,3,5,5,3,3,4,4,,,,2,2,,,,5,5,,,,5,5,3,3,5,2,5,5,5,2,2,5,6,2,3,2,5,6,6,6,2,6
207,3,19,2,2,5,5,5,6,5,6,6,5,5,5,5,4,,,5,5,4,5,6,6,5,5,4,,,4,,1,,,1,,5,,,5,,6,6,4,5,4,4,5,5,6,5,6,5,5,5,5,5,5,5,6,5,5,6
208,3,18,2,5,6,4,1,3,3,1,4,4,4,3,5,5,6,2,3,4,6,6,6,4,3,1,1,,,1,,5,,,5,,5,,,5,,6,6,3,6,6,3,6,6,5,5,5,6,6,6,6,5,6,6,6,5,4,3
209,3,21,1,5,5,4,3,5,5,1,4,4,5,2,5,5,5,2,6,4,6,6,5,4,2,5,1,,,1,,5,,,5,,5,,,5,,5,5,3,6,6,1,5,5,5,3,5,5,5,1,6,6,6,6,5,6,2,6
210,4,18,2,5,6,6,1,4,,1,4,5,3,1,3,5,6,2,4,5,6,6,5,1,1,2,4,,,,4,3,,,,3,5,,,,5,6,6,2,5,4,1,4,5,4,2,4,6,6,3,6,5,6,6,6,3,1,1
211,2,19,2,5,5,5,1,1,5,1,5,5,5,3,4,4,3,2,4,5,3,5,2,4,2,1,1,,1,,,3,,3,,,5,,5,,,1,2,4,4,4,1,2,2,2,4,4,4,5,1,4,3,6,6,4,3,1,1
212,3,19,2,2,4,5,5,3,5,2,5,5,5,5,1,5,6,4,6,5,6,6,6,6,2,4,1,,,1,,3,,,3,,5,,,5,,6,6,6,6,6,4,6,6,6,6,2,6,6,6,6,2,6,6,6,6,2,6
213,2,20,1,6,5,5,3,1,6,1,2,5,6,5,6,6,6,3,5,5,6,6,5,6,3,2,4,,4,,,1,,1,,,5,,5,,,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1
214,1,21,2,6,5,5,2,5,4,1,5,5,4,1,1,6,6,2,4,4,6,2,5,5,2,2,1,1,,,,4,4,,,,5,5,,,,3,3,5,5,4,5,2,2,5,5,4,2,2,5,5,3,3,2,5,2,5,5
215,3,19,2,5,5,4,1,1,1,1,5,4,4,1,4,5,5,1,2,4,6,5,6,5,1,4,1,,,1,,3,,,3,,5,,,5,,6,5,2,2,2,1,5,5,3,5,4,6,5,2,3,3,5,5,6,5,2,5
216,3,18,2,5,5,6,5,5,6,3,5,5,5,4,4,6,5,3,3,2,6,6,4,4,2,3,4,,,4,,3,,,3,,5,,,5,,5,4,3,3,3,3,5,5,4,3,3,6,5,2,2,2,5,6,3,3,1,1
217,3,18,2,6,5,5,3,4,3,3,6,5,5,3,4,6,3,4,4,4,5,6,4,5,1,4,1,,,1,,1,,,1,,5,,,5,,5,5,3,5,3,5,5,5,5,5,5,6,6,4,6,6,6,6,6,6,6,6
219,2,18,2,5,4,4,1,1,1,1,3,4,1,3,3,4,2,2,3,3,4,6,3,3,1,1,1,,1,,,3,,3,,,5,,5,,,3,2,4,4,5,1,3,4,4,4,3,4,3,5,5,5,6,4,4,4,6,4
220,1,21,2,5,6,5,2,2,2,1,5,6,4,3,5,5,5,2,4,5,6,5,4,4,3,4,1,1,,,,3,3,,,,5,5,,,,5,3,5,5,5,1,4,3,5,5,5,4,3,5,5,5,5,2,5,5,4,5
221,2,18,2,3,4,5,2,3,2,1,4,5,4,3,5,5,6,2,3,4,5,6,6,3,3,4,1,,1,,,4,,4,,,5,,5,,,5,3,4,6,6,3,4,6,6,5,5,5,5,4,6,5,6,6,5,5,4,6
222,1,19,2,3,6,6,2,1,2,6,5,6,6,5,3,6,6,1,2,2,1,1,6,5,1,3,1,1,,,,3,3,,,,5,5,,,,6,3,6,6,6,3,3,4,4,2,6,1,3,6,6,6,6,1,4,3,6,6
223,4,20,2,5,3,3,1,5,1,1,4,2,3,4,2,4,6,2,4,3,4,5,5,2,3,3,4,,,,4,1,,,,1,5,,,,5,4,4,6,4,4,5,3,4,4,5,3,4,5,3,5,5,5,5,4,5,1,5
224,3,20,2,5,5,4,1,4,4,1,4,4,2,2,5,5,4,3,5,5,5,5,5,4,4,3,1,,,1,,3,,,3,,5,,,5,,5,5,3,5,5,1,5,5,1,2,5,5,5,4,5,2,5,5,5,5,2,2
225,1,18,2,5,3,4,1,3,4,1,2,5,4,2,3,5,6,2,5,3,6,5,3,4,3,3,1,1,,,,3,3,,,,5,5,,,,2,2,4,4,2,3,2,1,3,4,4,2,3,6,6,5,3,2,4,6,6,4
227,3,18,1,2,4,4,3,3,4,2,3,3,4,4,4,4,3,4,4,4,5,4,4,5,4,4,1,,,1,,1,,,1,,5,,,5,,5,5,4,4,5,1,3,4,4,4,5,5,3,4,6,6,6,5,5,5,2,6
228,2,20,2,5,6,6,5,6,5,3,5,5,5,5,6,6,6,4,5,5,6,6,5,5,1,2,1,,1,,,4,,4,,,5,,5,,,4,3,6,6,6,5,3,4,6,6,6,4,4,6,6,6,6,6,6,5,5,5
229,1,18,2,5,4,4,2,3,3,1,1,3,1,3,2,5,6,1,3,6,6,6,6,4,1,3,1,1,,,,4,4,,,,5,5,,,,2,2,5,5,5,5,4,5,5,5,5,3,2,5,5,5,4,4,3,5,4,5
230,1,18,2,6,4,4,3,3,3,1,4,4,4,2,3,5,6,4,4,5,6,6,4,5,1,2,,,,,,,,,,,5,5,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
231,1,22,1,5,5,5,1,3,2,1,4,5,3,2,2,4,5,2,4,2,5,1,5,3,4,1,1,1,,,,4,4,,,,5,5,,,,3,3,5,3,5,1,2,2,4,3,4,3,4,6,5,5,5,1,3,3,6,6
233,4,20,2,2,6,5,2,3,4,1,5,5,3,3,3,6,5,3,4,4,6,4,4,3,4,3,1,,,,1,2,,,,2,5,,,,5,3,2,3,4,2,2,4,3,3,4,3,5,3,4,3,5,5,5,4,3,3,4
234,4,18,2,6,5,5,1,3,1,1,2,4,5,1,6,5,6,2,3,4,6,6,4,3,1,1,4,,,,4,5,,,,5,5,,,,5,5,5,1,2,1,1,3,5,4,2,2,6,5,3,4,2,6,6,6,6,1,6
235,4,22,1,6,6,6,3,3,3,2,5,5,4,3,4,6,6,4,6,6,6,5,5,4,5,5,4,,,,4,3,,,,3,5,,,,5,6,6,3,3,1,1,5,4,4,3,6,6,6,4,5,5,6,5,4,4,5,4
236,3,19,1,3,6,6,4,4,6,1,5,5,6,3,5,5,6,1,6,6,4,2,5,3,3,2,1,,,1,,2,,,2,,5,,,5,,6,6,5,6,6,1,6,6,4,4,6,6,6,3,6,6,6,6,6,6,5,6
237,2,19,2,6,5,5,2,3,4,1,4,5,5,4,4,5,4,3,3,3,5,5,4,2,2,2,1,,1,,,4,,4,,,5,,5,,,4,3,4,5,4,1,5,4,5,5,5,4,4,5,5,5,5,5,5,4,4,4
239,1,18,2,2,5,6,4,5,5,1,6,6,6,2,6,6,5,4,5,6,6,4,5,5,3,6,1,1,,,,3,3,,,,5,5,,,,6,6,6,6,6,3,6,6,6,6,6,4,4,6,6,6,6,2,6,6,6,6
240,4,19,2,5,4,4,3,6,5,2,4,5,3,3,5,5,5,5,6,5,5,5,6,2,4,4,4,,,,4,5,,,,5,5,,,,5,5,6,2,4,6,1,6,3,4,2,6,6,6,3,6,5,6,6,4,5,1,2
241,3,18,2,5,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,2,6,4,3,3,1,,,1,,5,,,5,,5,,,5,,4,4,4,4,6,6,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6
242,3,18,2,5,6,6,5,5,4,1,5,4,4,4,4,6,4,4,5,4,6,3,4,4,5,4,4,,,4,,1,,,1,,5,,,5,,6,6,5,4,6,1,6,6,5,5,6,6,6,4,3,1,6,6,3,5,1,1
243,1,20,2,5,5,4,1,5,5,1,3,4,4,3,2,5,6,4,4,2,6,6,5,3,1,2,1,1,,,,4,4,,,,5,5,,,,5,4,6,6,4,1,4,5,6,6,5,5,5,6,6,4,5,5,6,5,6,4
244,1,20,2,6,6,6,6,6,6,1,6,6,6,1,6,6,6,1,4,6,6,6,4,2,4,2,1,1,,,,5,5,,,,5,5,,,,1,1,6,6,3,1,1,1,1,6,2,1,1,6,6,6,2,6,6,6,6,6
245,3,18,2,2,6,6,1,3,2,1,5,6,5,1,3,6,6,1,6,4,6,6,6,3,1,1,1,,,1,,5,,,5,,5,,,5,,6,6,3,6,2,1,6,6,3,2,3,6,6,2,6,3,6,6,6,2,1,1
246,4,19,1,5,6,6,2,5,4,1,6,5,2,1,6,6,6,5,6,2,6,5,6,3,2,4,1,,,,1,2,,,,2,5,,,,5,6,6,3,1,6,3,6,6,4,6,6,6,6,6,6,6,6,1,4,6,1,6
247,2,18,2,5,5,5,3,5,5,2,5,5,2,2,5,5,5,2,5,5,5,5,5,2,2,3,1,,1,,,4,,4,,,5,,5,,,5,2,5,5,5,2,2,2,5,5,5,3,3,5,5,5,5,5,5,3,3,5
248,1,21,2,5,6,5,1,4,2,2,5,6,4,1,3,5,6,2,5,2,6,5,4,2,1,2,1,1,,,,4,4,,,,5,5,,,,3,1,6,6,6,2,3,4,5,5,3,2,6,6,6,5,5,4,6,5,5,4
249,1,19,2,5,6,5,2,3,3,1,6,5,4,3,2,6,6,2,4,2,6,4,2,4,2,4,1,1,,,,4,4,,,,5,5,,,,2,2,6,5,6,2,3,3,5,6,6,1,2,6,5,5,2,1,5,5,6,6
250,1,18,2,5,5,6,1,3,4,1,3,5,3,4,4,6,6,5,5,4,6,6,5,5,6,5,1,1,,,,1,1,,,,5,5,,,,5,6,6,2,3,1,6,4,6,6,6,6,5,6,6,2,5,3,6,6,6,6
251,2,18,2,6,6,5,1,2,4,1,4,4,2,4,5,5,5,1,4,4,6,6,5,2,3,2,1,,1,,,5,,5,,,5,,5,,,5,2,6,6,6,1,4,2,3,5,5,2,1,6,6,6,6,5,3,6,6,6
252,1,18,2,5,2,4,3,4,5,1,2,4,4,3,1,4,6,3,5,2,5,3,5,3,3,3,4,4,,,,3,3,,,,5,5,,,,4,2,2,3,4,2,1,3,2,4,5,3,3,5,4,5,6,5,2,5,1,5
253,2,18,2,5,6,6,1,3,3,1,2,4,5,1,3,5,5,1,6,5,6,6,5,3,4,1,1,,1,,,4,,4,,,5,,5,,,5,2,3,5,6,4,5,3,5,6,6,6,6,6,6,6,6,2,5,2,6,6
